Publication Number,Patent Type,Pages of Document,Count of Current Assignees,Count of Inventors,Main IPC Section,Simple Family Count,Simple Family Cited by Count,Legal Status & Events,Simple Legal Status,Patent Valuation
TH1501006604A,Applications,508,1,6,C,239,808,Published,Pending,11900000
TH137265A,Applications,1,2,6,A,123,61,Examining,Pending,11890000
TH85543B,Patents,88,1,10,B,56,139,Granted,Active,11680000
TH82144B,Patents,179,1,10,C,60,280,Granted,Active,11210000
TH88721B,Patents,34,1,4,G,33,294,Granted,Active,11040000
TH140063A,Applications,1,1,2,C,96,91,Examining,Pending,10960000
TH82048B,Patents,115,1,6,A,42,450,Granted,Active,10940000
TH2201003311A,Applications,92,1,3,A,286,134,Published,Pending,10860000
TH125172A,Applications,2,2,18,A,46,150,Examining,Pending,10810000
TH111656A,Applications,1,1,8,C,44,883,Examining,Pending,10720000
TH137274A,Applications,1,1,2,A,125,55,Examining,Pending,10680000
TH137280A,Applications,1,2,6,C,76,124,Withdrawn,Inactive,10650000
TH87950B,Patents,161,1,3,A,56,782,Granted,Active,10560000
TH73235B,Patents,35,1,14,A,36,1284,Granted,Active,10500000
TH73398B,Patents,177,1,13,A,53,256,Granted,Active,10480000
TH171331A,Applications,1,1,19,C,37,113,Examining,Pending,10440000
TH139654A,Applications,1,1,6,A,60,868,Examining,Pending,10420000
TH176293A,Applications,1,1,7,A,48,1605,Published,Pending,10410000
TH61714B,Patents,58,1,3,C,52,134,Granted,Active,10350000
TH66992B,Patents,39,1,5,A,38,87,Granted,Active,10000000
TH170649A,Applications,1,1,16,C,69,120,Published,Pending,9900000
TH158444A,Applications,1,1,10,C,72,148,Published,Pending,9750000
TH75901B,Patents,49,1,2,C,26,139,Granted,Active,9750000
TH90293B,Patents,3,1,11,B,52,113,Granted,Active,9700000
TH82754A,Applications,1,1,3,A,42,83,Examining,Pending,9580000
TH50035B,Patents,35,1,9,A,42,135,Granted,Active,9190000
TH79592B,Patents,219,1,2,A,38,367,Granted,Active,9170000
TH78419B,Patents,20,1,5,B,63,33,Granted,Active,9110000
TH176294A,Applications,1,1,8,A,168,221,Published,Pending,9000000
TH115885A,Applications,1,1,3,A,99,184,Examining,Pending,8880000
TH88498A,Applications,1,1,3,A,109,294,Examining,Pending,8870000
TH71126B,Patents,23,1,4,A,26,383,Granted,Active,8870000
TH76760B,Patents,53,1,7,C,50,721,Granted,Active,8830000
TH1501001025A,Applications,134,1,19,C,44,271,Published,Pending,8760000
TH77200B,Patents,41,1,4,C,36,50,Granted,Active,8750000
TH68961B,Patents,18,1,1,B,68,110,Granted,Active,8740000
TH127001A,Applications,1,2,4,G,47,87,Examining,Pending,8720000
TH77553B,Patents,26,1,4,A,83,271,Granted,Active,8610000
TH123651A,Applications,1,1,5,A,45,29,Examining,Pending,8580000
TH1501000666A,Applications,71,1,5,C,27,36,Published,Pending,8550000
TH137477A,Applications,1,1,8,A,54,96,Examining,Pending,8540000
TH138994A,Applications,1,1,8,C,63,200,Examining,Pending,8510000
TH124837A,Applications,1,1,33,A,51,445,Examining,Pending,8510000
TH1401006017A,Applications,1,2,5,C,61,86,Published,Pending,8510000
TH141447A,Applications,1,1,4,A,33,28,Examining,Pending,8490000
TH77676B,Patents,7,1,2,C,41,246,Granted,Active,8460000
TH79815B,Patents,104,1,7,A,49,344,Granted,Active,8420000
TH129794A,Applications,1,1,7,A,86,169,Examining,Pending,8400000
TH137287A,Applications,1,1,5,A,66,143,Withdrawn,Inactive,8360000
TH131031A,Applications,1,2,12,A,75,183,Examining,Pending,8350000
TH1401006471A,Applications,326,1,6,C,50,20,Examining,Pending,8250000
TH124382A,Applications,1,1,5,A,84,95,Examining,Pending,8190000
TH83244B,Patents,27,1,2,F,31,18,Granted,Active,8090000
TH74649B,Patents,25,1,1,B,55,46,Granted,Active,8050000
TH64280B,Patents,28,1,3,C,36,190,Granted,Active,7960000
TH137275A,Applications,1,1,9,C,38,506,Examining,Pending,7940000
TH71606B,Patents,24,1,3,A,47,76,Granted,Active,7940000
TH144462A,Applications,1,1,10,C,44,457,Examining,Pending,7850000
TH137303A,Applications,1,1,20,A,60,69,Examining,Pending,7820000
TH1401001414A,Applications,323,2,2,A,52,210,Published,Pending,7820000
TH69175B,Patents,13,3,2,A,49,79,Granted,Active,7820000
TH65469B,Patents,9,1,3,B,47,100,Granted,Active,7820000
TH157450A,Applications,1,1,15,C,37,161,Examining,Pending,7790000
