patent_No.,industries,patent type,status,Count_Inventor,discount_rate,TRL,risk adjustment,สังกัดผู้ขอ,วัตถุประสงค์,value
1,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,1,0.09,9,0.84,บจก,เพื่อหาผู้ร่วมลงทุน,907542
2,อุตสาหกรรมแปรรูปอาหาร,petty patent,pending,3,0.09,8,0.68,มหาวิทยาลัย,"เพื่อเริ่มธุรกิจใหม่, เพื่อการอนุญาตให้ใช้สิทธิ, เพื่อเป็นหลักประกันธุรกิจ, เพื่อใช้ในการฟ้องร้อง",1649088
3,อุตสาหกรรมแปรรูปอาหาร,patent,published,2,0.02,8,0.6,มหาวิทยาลัย,"เพื่อการอนุญาตให้ใช้สิทธิ, เพื่อหาผู้ร่วมลงทุน",1348791
4,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,3,0.02,4,0.66,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,638249
5,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,4,0.02,4,0.66,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,989249
6,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,5,0.02,5,0.7,สำนักงาน-องค์กรแห่งชาติ,"เพื่อเริ่มธุรกิจใหม่, เพื่อการอนุญาตให้ใช้สิทธิ, เพื่อหาผู้ร่วมลงทุน",2894881
7,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,3,0.02,4,0.66,มหาวิทยาลัย,"เพื่อเริ่มธุรกิจใหม่, เพื่อการอนุญาติให้ใช้สิทธิ, เพื่อหาผู้ร่วมลงทุน",1013074
8,อุตสาหกรรมแปรรูปอาหาร,petty patent,pending,1,0.02,4,0.53,มหาวิทยาลัย,"เพื่อเริ่มธุรกิจใหม่, เพื่อการอนุญาตให้ใช้สิทธิ",1215850
9,อุตสาหกรรมแปรรูปอาหาร,petty patent,pending,1,0.02,1,0.28,มหาวิทยาลัย,เพื่อหาผู้ร่วมลงทุน,1098369
10,อุตสาหกรรมแปรรูปอาหาร,patent,published,3,0.02,4,0.63,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,5337685
11,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,3,0.02,7,0.77,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,1072353
12,อุตสาหกรรมแปรรูปอาหาร,petty patent,published,2,0.02,4,0.53,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,2229126
13,อุตสาหกรรมแปรรูปอาหาร,petty patent,pending,3,0.02,4,0.53,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,1736929
14,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,3,0.02,8,0.8,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,1000242
15,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,1,0.02,7,0.77,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,496597
16,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,1,0.02,7,0.77,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,500841
17,อุตสาหกรรมแปรรูปอาหาร,petty patent,pending,3,0.02,7,0.64,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,561875
18,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,1,0.02,7,0.77,มหาวิทยาลัย,เพื่อการอนุญาตให้ใช้สิทธิ,918124.00
19,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,1,0.09,7,0.77,ส่วนบุคคล,เพื่อหาผู้ร่วมลงทุน,1102812
20,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,3,0.02,8,0.8,มหาวิทยาลัย,"เพื่อเริ่มธุรกิจใหม่, เพื่อการอนุญาตให้ใช้สิทธิ",827860
21,อุตสาหกรรมแปรรูปอาหาร,petty patent,granted,3,0.02,4,0.66,สำนักงาน-องค์กรแห่งชาติ,"เพื่อเริ่มธุรกิจใหม่, เพื่อการอนุญาตให้ใช้สิทธิ",1243266
